duetime,startnode,endnode,starttime,arrivaltime,transporttime,handlingtime,hops
3.73,Antwerpen,Brussel,1.73,3.1500000000000004,0.75,0.40000000000000036,1
5.7,Antwerpen,Brussel,1.7,3.2500000000000004,0.75,0.5000000000000004,1
6.63,Antwerpen,Brussel,1.63,3.3500000000000005,0.75,0.6000000000000005,1
4.83,Brussel,Antwerpen,2.83,4.65,0.7500000000000004,0.40000000000000036,1
5.09,Brussel,Antwerpen,3.09,4.75,0.7500000000000004,0.5,1
7.75,Brussel,Antwerpen,1.75,4.85,0.7500000000000004,0.5999999999999996,1
6.96,Gent,Brussel,0.96,5.149999999999999,0.75,0.3999999999999986,1
2.45,Gent,Antwerpen,0.45,5.449999999999999,0.75,0.1999999999999993,1
7.2,Antwerpen,Ronse,1.2,6.899999999999999,1.7500000000000004,1.1999999999999975,3
7.75,Antwerpen,Ronse,2.75,6.999999999999998,1.7500000000000004,1.4999999999999964,3
9.97,Antwerpen,Ronse,0.97,7.099999999999998,1.7500000000000004,1.7999999999999954,3
9.36,Brugge,Mons,1.3599999999999999,7.149999999999999,2.5,1.5999999999999983,4
10.36,Brugge,Mons,1.3599999999999999,7.249999999999998,2.5,1.9999999999999973,4
16.68,Brugge,Mons,0.68,7.349999999999998,2.5,2.3999999999999964,4
8.71,Gent,Brussel,4.71,7.649999999999999,0.75,0.3999999999999986,1
9.31,Mons,Antwerpen,2.31,7.649999999999999,2.25,1.199999999999998,3
12.05,Gent,Brussel,6.05,7.749999999999998,0.75,0.4999999999999982,1
10.39,Brussel,Antwerpen,6.39,7.749999999999998,0.75,0.4999999999999982,1
11.52,Mons,Antwerpen,2.52,7.849999999999998,2.25,1.5999999999999965,3
7.47,Brussel,Brugge,3.4699999999999998,7.899999999999999,1.5,1.0499999999999972,2
12.96,Brussel,Brugge,2.96,7.999999999999998,1.5,1.2499999999999964,2
14.82,Brussel,Brugge,4.82,8.099999999999998,1.5,1.4499999999999957,2
9.69,Namur,Gent,2.69,8.149999999999999,2.25,1.1999999999999957,3
8.31,Gent,Antwerpen,6.3100000000000005,8.149999999999999,0.75,0.3999999999999986,1
8.27,Antwerpen,Brussel,3.27,8.2,0.75,0.4499999999999993,1
10.57,Namur,Gent,0.57,8.249999999999998,2.25,1.4999999999999947,3
8.9,Gent,Antwerpen,5.9,8.249999999999998,0.75,0.4999999999999982,1
8.61,Antwerpen,Brussel,6.61,8.299999999999999,0.75,0.5499999999999989,1
12.790000000000001,Gent,Antwerpen,6.790000000000001,8.349999999999998,0.75,0.5999999999999979,1
11.47,Antwerpen,Brussel,5.470000000000001,8.399999999999999,0.75,0.6499999999999986,1
13.5,Gent,Brussel,7.5,8.649999999999999,0.75,0.3999999999999986,1
10.67,Namur,Gent,3.67,9.149999999999999,2.25,1.5999999999999943,3
11.81,Namur,Gent,3.81,9.349999999999998,2.25,1.399999999999995,3
10.02,Brussel,Antwerpen,7.02,9.549999999999999,0.75,0.29999999999999893,1
14.27,Gent,Brussel,8.27,9.649999999999999,0.75,0.3999999999999986,1
17.63,Mons,Antwerpen,2.63,9.649999999999999,2.25,1.5999999999999965,3
16.16,Brussel,Brugge,6.16,10.049999999999999,1.5,0.8999999999999968,2
17.1,Brussel,Brugge,5.1000000000000005,10.149999999999999,1.5,0.5999999999999979,2
8.09,Gent,Namur,0.09,10.399999999999999,2.25,1.1999999999999957,3
19.32,Namur,Gent,4.32,10.399999999999999,2.25,1.649999999999995,3
10.94,Gent,Namur,3.94,10.499999999999998,2.25,1.4999999999999947,3
19.79,Namur,Gent,3.79,10.499999999999998,2.25,1.949999999999994,3
17.52,Gent,Namur,5.52,10.599999999999998,2.25,1.399999999999995,3
11.530000000000001,Brussel,Brugge,7.53,11.899999999999999,1.5,1.1499999999999968,2
15.969999999999999,Gent,Brussel,9.969999999999999,11.95,0.75,0.1999999999999993,1
10.65,Antwerpen,Ronse,5.65,11.999999999999996,1.75,1.4499999999999922,3
15.09,Brussel,Brugge,8.09,11.999999999999998,1.5,1.1499999999999968,2
14.290000000000001,Antwerpen,Ronse,8.290000000000001,12.099999999999996,1.75,1.2999999999999936,3
16.12,Brussel,Brugge,7.12,12.099999999999998,1.5,1.349999999999996,2
11.5,Gent,Antwerpen,8.5,12.149999999999999,0.75,0.3999999999999986,1
10.34,Mons,Antwerpen,3.34,12.149999999999999,2.25,1.1999999999999957,3
15.7,Antwerpen,Ronse,3.7,12.199999999999996,1.75,1.8499999999999908,3
12.37,Gent,Antwerpen,9.37,12.249999999999998,0.75,0.4999999999999982,1
11.23,Brussel,Antwerpen,9.23,12.249999999999998,0.75,0.4999999999999982,1
12.95,Gent,Antwerpen,8.95,12.349999999999998,0.75,0.5999999999999979,1
13.18,Brussel,Antwerpen,10.18,12.349999999999998,0.75,0.5999999999999979,1
16.7,Antwerpen,Ronse,2.7,12.499999999999998,1.75,1.5999999999999943,3
13.08,Brussel,Brugge,9.08,12.7,1.5,0.8999999999999986,2
11.13,Antwerpen,Brussel,9.13,12.749999999999998,0.75,0.4999999999999982,1
13.34,Brussel,Brugge,9.34,12.799999999999999,1.5,1.0999999999999979,2
12.57,Antwerpen,Brussel,10.57,12.849999999999998,0.75,0.5999999999999979,1
16.18,Brussel,Brugge,9.18,12.899999999999999,1.5,1.2999999999999972,2
17.5,Antwerpen,Brussel,11.5,12.949999999999998,0.75,0.6999999999999975,1
13.86,Antwerpen,Brussel,11.86,13.699999999999998,0.75,0.4499999999999975,1
17.58,Antwerpen,Brussel,11.58,13.799999999999997,0.75,0.5499999999999972,1
18.33,Brussel,Brugge,8.33,14.049999999999999,1.5,0.8999999999999968,2
14.52,Gent,Antwerpen,8.52,14.049999999999999,0.75,0.29999999999999893,1
18.83,Mons,Antwerpen,9.829999999999998,14.149999999999999,2.25,1.499999999999993,3
20.630000000000003,Brussel,Brugge,8.63,14.149999999999999,1.5,1.2499999999999964,2
15.7,Gent,Antwerpen,12.7,14.149999999999999,0.75,0.3999999999999986,1
20.96,Mons,Antwerpen,2.96,14.249999999999998,2.25,1.4999999999999947,3
24.28,Mons,Antwerpen,7.279999999999999,14.349999999999998,2.25,1.7999999999999936,3
14.8,Antwerpen,Ronse,8.8,14.399999999999999,1.75,1.2499999999999947,3
14.72,Namur,Gent,6.720000000000001,14.449999999999998,2.25,1.5999999999999925,3
15.490000000000002,Antwerpen,Ronse,9.490000000000002,14.499999999999998,1.75,1.5499999999999936,3
16.79,Namur,Gent,9.79,14.549999999999997,2.25,1.8999999999999915,3
18.86,Antwerpen,Ronse,8.860000000000001,14.599999999999998,1.75,1.8499999999999925,3
15.139999999999999,Gent,Brussel,13.139999999999999,14.649999999999999,0.75,0.3999999999999986,1
18.0,Gent,Brussel,11.999999999999998,14.749999999999998,0.75,0.4999999999999982,1
19.159999999999997,Gent,Brussel,13.159999999999998,14.849999999999998,0.75,0.5999999999999979,1
16.31,Gent,Antwerpen,13.309999999999999,15.549999999999999,0.75,0.29999999999999893,1
16.46,Gent,Antwerpen,13.459999999999999,15.649999999999999,0.75,0.3999999999999986,1
16.189999999999998,Gent,Namur,9.189999999999998,15.899999999999999,2.25,1.199999999999994,3
18.25,Gent,Namur,7.249999999999999,15.999999999999998,2.25,1.4999999999999947,3
18.78,Gent,Namur,6.779999999999999,16.099999999999998,2.25,1.7999999999999954,3
17.21,Antwerpen,Brussel,13.209999999999999,16.15,0.7499999999999982,0.3999999999999986,1
19.339999999999996,Gent,Brussel,13.339999999999998,16.15,0.7499999999999982,0.3999999999999986,1
18.86,Antwerpen,Brussel,14.86,16.25,0.7499999999999982,0.5,1
16.080000000000002,Antwerpen,Ronse,11.080000000000002,16.299999999999997,1.75,1.5999999999999943,3
18.869999999999997,Antwerpen,Brussel,14.87,16.35,0.7499999999999982,0.6000000000000014,1
16.1,Antwerpen,Ronse,10.100000000000001,16.4,1.75,1.899999999999995,3
19.22,Antwerpen,Ronse,6.220000000000001,16.5,1.75,1.9999999999999964,3
14.04,Brussel,Brugge,10.04,16.65,1.4999999999999982,0.9499999999999975,2
20.240000000000002,Antwerpen,Ronse,12.240000000000002,16.700000000000003,1.7499999999999982,1.8499999999999996,3
15.12,Brussel,Brugge,10.12,16.75,1.4999999999999982,1.1499999999999986,2
17.48,Brussel,Brugge,12.48,16.85,1.4999999999999982,1.4999999999999982,2
19.88,Gent,Namur,8.879999999999999,16.900000000000006,2.25,1.3000000000000025,3
22.53,Antwerpen,Ronse,9.530000000000001,16.900000000000006,1.75,2.200000000000001,3
22.299999999999997,Gent,Namur,8.299999999999999,17.000000000000007,2.25,1.5000000000000036,3
24.15,Gent,Namur,9.149999999999999,17.10000000000001,2.25,1.8000000000000043,3
24.400000000000002,Antwerpen,Ronse,12.400000000000002,17.10000000000001,1.75,2.7500000000000036,3
24.47,Gent,Namur,11.469999999999999,17.20000000000001,2.25,1.4000000000000075,3
17.53,Brussel,Brugge,9.53,17.300000000000004,1.5,1.3000000000000025,2
24.82,Gent,Namur,6.819999999999999,17.30000000000001,2.25,1.9000000000000075,3
18.55,Brussel,Brugge,12.55,17.400000000000006,1.5,1.0500000000000043,2
25.089999999999996,Gent,Namur,11.089999999999998,17.400000000000013,2.25,1.9000000000000092,3
20.619999999999997,Gent,Antwerpen,14.62,17.450000000000003,0.75,0.20000000000000284,1
20.25,Brussel,Brugge,12.25,17.500000000000007,1.5,1.2500000000000053,2
15.8,Brussel,Antwerpen,13.8,17.650000000000006,0.75,0.4000000000000057,1
21.75,Brussel,Antwerpen,15.750000000000002,17.650000000000006,0.75,0.4000000000000057,1
18.42,Brussel,Antwerpen,15.420000000000002,17.750000000000007,0.75,0.5000000000000071,1
21.85,Brussel,Antwerpen,15.850000000000001,17.750000000000007,0.75,0.5000000000000071,1
19.509999999999998,Mons,Antwerpen,7.51,17.85000000000001,2.25,1.5000000000000053,3
22.220000000000002,Brussel,Antwerpen,16.220000000000002,17.85000000000001,0.75,0.6000000000000085,1
16.1,Brugge,Mons,7.1,18.250000000000014,2.5,2.050000000000008,4
21.060000000000002,Brussel,Brugge,13.06,18.300000000000004,1.5,1.1500000000000021,2
19.0,Brugge,Mons,1.0,18.350000000000016,2.5,2.3000000000000096,4
21.75,Antwerpen,Ronse,12.750000000000002,18.400000000000006,1.75,1.4500000000000082,3
21.6,Brussel,Brugge,10.6,18.400000000000006,1.4999999999999982,1.3000000000000114,2
20.08,Brugge,Mons,10.08,18.450000000000017,2.4999999999999982,2.1000000000000156,4
22.92,Antwerpen,Ronse,13.920000000000002,18.500000000000007,1.75,1.7500000000000124,3
21.84,Brussel,Brugge,14.84,18.500000000000007,1.4999999999999982,1.5000000000000142,2
19.0,Antwerpen,Brussel,15.0,19.150000000000006,0.75,0.4000000000000057,1
19.950000000000003,Brussel,Antwerpen,17.950000000000003,19.150000000000006,0.75,0.4000000000000057,1
20.62,Antwerpen,Brussel,16.62,19.250000000000007,0.75,0.5000000000000071,1
22.81,Mons,Antwerpen,7.81,19.250000000000007,2.25,1.6000000000000032,3
23.79,Antwerpen,Brussel,17.79,19.35000000000001,0.75,0.6000000000000085,1
23.400000000000002,Brussel,Antwerpen,17.400000000000002,19.35000000000001,0.75,0.6000000000000085,1
22.28,Brugge,Mons,9.28,20.150000000000006,2.4999999999999982,2.300000000000006,4
23.2,Brugge,Mons,11.2,20.250000000000007,2.5,2.9000000000000092,4
24.77,Brugge,Mons,6.77,20.35000000000001,2.5,2.4000000000000234,4
22.95,Gent,Namur,12.95,20.400000000000006,2.2499999999999982,1.3000000000000114,3
24.33,Antwerpen,Brussel,18.33,20.450000000000003,0.75,0.20000000000000284,1
26.43,Gent,Namur,13.43,20.500000000000007,2.2499999999999982,1.6000000000000156,3
24.78,Antwerpen,Ronse,11.780000000000001,20.500000000000014,1.75,1.7500000000000178,3
27.34,Gent,Namur,13.34,20.60000000000001,2.2499999999999982,1.8500000000000227,3
20.47,Gent,Antwerpen,18.47,20.650000000000006,0.75,0.4000000000000057,1
23.48,Namur,Gent,16.48,20.650000000000006,2.25,1.1000000000000156,3
22.009999999999998,Gent,Antwerpen,18.009999999999998,20.750000000000007,0.75,0.5000000000000071,1
23.59,Namur,Gent,15.59,20.750000000000007,2.25,1.40000000000002,3
22.23,Gent,Antwerpen,17.23,20.85000000000001,0.75,0.6000000000000085,1
26.64,Antwerpen,Ronse,13.640000000000002,20.900000000000006,1.75,1.650000000000011,3
22.9,Gent,Brussel,18.9,21.150000000000006,0.75,0.4000000000000057,1
23.61,Gent,Brussel,19.61,21.250000000000007,0.75,0.5000000000000071,1
24.439999999999998,Gent,Brussel,19.439999999999998,21.35000000000001,0.75,0.6000000000000085,1
23.3,Brussel,Antwerpen,19.3,21.650000000000006,0.75,0.4000000000000057,1
23.45,Mons,Antwerpen,13.45,21.750000000000007,2.25,1.3000000000000185,3
23.740000000000002,Brussel,Antwerpen,18.740000000000002,21.85000000000001,0.75,0.6000000000000085,1
24.75,Gent,Brussel,18.75,22.150000000000006,0.75,0.4000000000000057,1
28.13,Gent,Namur,14.129999999999999,22.400000000000006,2.2499999999999982,1.5500000000000185,3
26.5,Namur,Gent,9.5,22.400000000000006,2.25,1.8500000000000014,3
29.57,Gent,Namur,12.569999999999999,22.500000000000007,2.2499999999999982,1.8500000000000227,3
28.21,Namur,Gent,10.209999999999999,22.500000000000007,2.25,1.5500000000000043,3
32.67,Gent,Namur,16.669999999999998,22.60000000000001,2.25,1.40000000000002,3
23.88,Gent,Antwerpen,17.88,22.650000000000006,0.75,0.4000000000000057,1
24.209999999999997,Gent,Antwerpen,20.209999999999997,22.750000000000007,0.75,0.5000000000000071,1
32.44,Namur,Gent,17.44,22.85000000000001,2.25,1.0000000000000213,3
24.529999999999998,Gent,Antwerpen,18.529999999999998,22.85000000000001,0.75,0.6000000000000085,1
25.67,Brugge,Mons,12.67,22.900000000000006,2.5,1.9500000000000277,4
26.25,Brugge,Mons,15.25,23.000000000000007,2.4999999999999982,2.5000000000000355,4
21.88,Brussel,Brugge,10.879999999999999,23.050000000000004,1.4999999999999982,1.1500000000000128,2
28.25,Brugge,Mons,11.25,23.10000000000001,2.5,2.050000000000022,4
25.57,Antwerpen,Brussel,21.57,23.150000000000006,0.75,0.4000000000000057,1
24.23,Brussel,Brugge,14.23,23.150000000000006,1.5,1.0000000000000142,2
26.57,Antwerpen,Brussel,20.57,23.250000000000007,0.75,0.5000000000000071,1
27.04,Antwerpen,Brussel,21.04,23.35000000000001,0.75,0.6000000000000085,1
24.18,Brussel,Antwerpen,22.18,23.650000000000006,0.75,0.4000000000000057,1
24.43,Brussel,Antwerpen,21.43,23.750000000000007,0.75,0.5000000000000071,1
25.22,Mons,Antwerpen,11.219999999999999,23.85000000000001,2.25,1.4000000000000057,3
23.13,Gent,Brussel,21.13,24.150000000000006,0.75,0.4000000000000057,1
24.98,Brussel,Brugge,13.98,24.150000000000006,1.5,0.95000000000001,2
25.73,Gent,Brussel,22.73,24.250000000000007,0.75,0.5000000000000071,1
30.689999999999998,Brussel,Brugge,19.689999999999998,24.250000000000007,1.5,0.9000000000000128,2
32.349999999999994,Brussel,Brugge,20.349999999999998,24.35000000000001,1.5,1.1000000000000156,2
23.970000000000002,Antwerpen,Ronse,18.970000000000002,24.500000000000014,1.75,1.3000000000000256,3
24.560000000000002,Antwerpen,Ronse,19.560000000000002,24.600000000000016,1.75,1.6000000000000298,3
26.37,Brugge,Mons,17.37,24.650000000000006,2.5,1.5000000000000213,4
25.630000000000003,Namur,Gent,18.630000000000003,24.650000000000006,2.25,1.200000000000017,3
27.480000000000004,Antwerpen,Ronse,14.480000000000002,24.700000000000017,1.75,1.900000000000034,3
28.42,Brugge,Mons,14.42,24.750000000000007,2.4999999999999982,2.2500000000000284,4
28.47,Brugge,Mons,15.47,24.85000000000001,2.4999999999999982,2.2500000000000284,4
28.000000000000004,Antwerpen,Ronse,20.000000000000004,24.900000000000006,1.75,1.0000000000000142,3
26.38,Antwerpen,Brussel,22.38,24.950000000000003,0.75,0.20000000000000284,1
28.49,Gent,Brussel,23.49,25.150000000000006,0.75,0.4000000000000057,1
29.45,Gent,Brussel,23.45,25.250000000000007,0.75,0.5000000000000071,1
27.93,Brussel,Brugge,21.93,26.050000000000004,1.5,0.8000000000000114,2
25.95,Mons,Antwerpen,14.95,26.150000000000006,2.25,1.40000000000002,3
29.28,Brussel,Brugge,22.28,26.150000000000006,1.5,1.0000000000000142,2
27.549999999999997,Mons,Antwerpen,9.549999999999999,26.250000000000007,2.25,1.5000000000000036,3
28.729999999999997,Mons,Antwerpen,11.729999999999999,26.35000000000001,2.25,1.800000000000015,3
29.07,Brugge,Mons,18.07,26.650000000000006,2.5,1.8000000000000256,4
32.04,Brugge,Mons,20.04,26.750000000000007,2.5,2.2000000000000313,4
33.17,Brugge,Mons,15.17,26.85000000000001,2.5,2.10000000000003,4
29.140000000000004,Namur,Gent,22.140000000000004,26.850000000000016,2.25,1.5000000000000355,3
31.47,Gent,Brussel,25.47,27.050000000000004,0.75,0.30000000000000426,1
27.33,Antwerpen,Brussel,25.33,27.550000000000004,0.75,0.30000000000000426,1
27.76,Brussel,Antwerpen,25.76,27.650000000000006,0.75,0.4000000000000057,1
28.08,Antwerpen,Brussel,26.08,27.650000000000006,0.75,0.4000000000000057,1
27.860000000000003,Brussel,Antwerpen,25.860000000000003,27.750000000000007,0.75,0.5000000000000071,1
28.84,Brussel,Antwerpen,24.84,27.85000000000001,0.75,0.6000000000000085,1
31.59,Brussel,Brugge,22.59,27.900000000000006,1.5,1.0500000000000114,2
32.94,Brussel,Brugge,23.94,28.000000000000007,1.5,1.2500000000000142,2
33.76,Brussel,Brugge,21.759999999999998,28.10000000000001,1.5,1.450000000000017,2
26.389999999999997,Gent,Antwerpen,22.389999999999997,28.150000000000006,0.75,0.4000000000000057,1
29.4,Gent,Antwerpen,24.4,28.250000000000007,0.75,0.5000000000000071,1
29.53,Gent,Antwerpen,26.53,28.35000000000001,0.75,0.6000000000000085,1
26.06,Gent,Namur,17.06,28.400000000000006,2.25,1.200000000000017,3
32.82,Gent,Namur,21.82,28.500000000000007,2.25,1.40000000000002,3
33.04,Gent,Namur,21.04,28.60000000000001,2.25,1.6000000000000227,3
32.96,Brugge,Mons,18.96,28.650000000000006,2.5,1.8000000000000256,4
29.32,Mons,Antwerpen,17.32,28.650000000000006,2.25,1.6000000000000227,3
33.33,Brugge,Mons,13.33,28.750000000000007,2.5,1.900000000000027,4
30.34,Brussel,Antwerpen,24.34,28.750000000000007,0.75,0.5000000000000071,1
36.6,Brugge,Mons,22.6,28.85000000000001,2.5,2.350000000000037,4
32.91,Mons,Antwerpen,17.91,28.85000000000001,2.25,1.4500000000000242,3
31.72,Antwerpen,Brussel,27.72,28.950000000000003,0.75,0.20000000000000284,1
29.590000000000003,Namur,Gent,21.590000000000003,29.400000000000006,2.25,1.7500000000000284,3
32.34,Namur,Gent,21.340000000000003,29.500000000000007,2.25,2.0500000000000327,3
34.57000000000001,Namur,Gent,19.570000000000004,29.60000000000001,2.25,1.8500000000000227,3
36.96,Brugge,Mons,17.96,29.650000000000006,2.5,1.6000000000000227,4
33.629999999999995,Gent,Namur,17.63,29.700000000000003,2.25,1.200000000000017,3
37.480000000000004,Brugge,Mons,21.48,29.750000000000007,2.5,2.150000000000034,4
37.6,Brugge,Mons,22.6,29.85000000000001,2.5,2.55000000000004,4
32.33,Antwerpen,Brussel,28.33,29.950000000000003,0.75,0.20000000000000284,1
28.900000000000002,Brussel,Brugge,24.900000000000002,30.050000000000004,1.5,0.8000000000000185,2
30.720000000000002,Gent,Antwerpen,28.720000000000002,30.150000000000006,0.75,0.4000000000000057,1
34.410000000000004,Brussel,Brugge,25.410000000000004,30.150000000000006,1.5,1.1000000000000227,2
31.93,Gent,Antwerpen,25.93,30.250000000000007,0.75,0.5000000000000071,1
30.240000000000006,Brussel,Antwerpen,28.240000000000006,30.250000000000014,0.75,0.5000000000000142,1
33.44,Gent,Antwerpen,28.44,30.35000000000001,0.75,0.6000000000000085,1
32.71000000000001,Brussel,Antwerpen,27.710000000000004,30.350000000000016,0.75,0.6000000000000156,1
34.64,Mons,Antwerpen,17.64,30.450000000000017,2.25,1.7500000000000355,3
31.24,Gent,Brussel,28.24,31.150000000000006,0.75,0.4000000000000057,1
33.63,Namur,Gent,24.630000000000003,31.150000000000006,2.25,1.200000000000017,3
33.709999999999994,Gent,Brussel,29.709999999999997,31.250000000000007,0.75,0.5000000000000071,1
33.95,Namur,Gent,24.950000000000003,31.250000000000007,2.25,1.40000000000002,3
34.39,Gent,Brussel,29.389999999999997,31.35000000000001,0.75,0.6000000000000085,1
32.400000000000006,Antwerpen,Ronse,27.400000000000006,31.400000000000006,1.75,1.40000000000002,3
35.53,Gent,Brussel,29.529999999999998,31.45000000000001,0.75,0.70000000000001,1
33.550000000000004,Antwerpen,Ronse,25.550000000000004,31.500000000000007,1.75,1.7000000000000242,3
34.760000000000005,Antwerpen,Ronse,21.760000000000005,31.60000000000001,1.75,2.0000000000000284,3
32.06999999999999,Antwerpen,Brussel,30.069999999999997,31.750000000000014,0.75,0.5000000000000142,1
34.5,Antwerpen,Brussel,30.499999999999996,31.850000000000016,0.75,0.6000000000000156,1
32.54,Gent,Namur,25.54,31.900000000000006,2.25,1.200000000000017,3
35.37,Antwerpen,Brussel,30.369999999999997,31.950000000000017,0.75,0.700000000000017,1
33.620000000000005,Gent,Namur,22.62,32.00000000000001,2.25,1.3000000000000185,3
37.519999999999996,Gent,Namur,22.52,32.10000000000001,2.25,1.6000000000000227,3
33.7,Antwerpen,Ronse,27.700000000000006,32.400000000000006,1.75,1.2500000000000213,3
33.459999999999994,Gent,Brussel,31.459999999999997,32.650000000000006,0.75,0.4000000000000057,1
33.510000000000005,Namur,Gent,26.51,32.650000000000006,2.25,1.200000000000017,3
35.699999999999996,Gent,Brussel,30.699999999999996,32.75000000000001,0.75,0.5000000000000071,1
34.82000000000001,Namur,Gent,19.820000000000004,32.75000000000001,2.25,1.7000000000000242,3
32.96,Gent,Antwerpen,30.96,33.150000000000006,0.75,0.4000000000000057,1
36.35,Namur,Gent,27.35,33.150000000000006,2.25,1.40000000000002,3
33.68,Gent,Antwerpen,31.68,33.25000000000001,0.75,0.5000000000000071,1
38.64,Namur,Gent,20.640000000000004,33.25000000000001,2.25,1.5000000000000213,3
32.940000000000005,Brussel,Antwerpen,30.940000000000005,33.250000000000014,0.75,0.5000000000000142,1
35.74,Gent,Antwerpen,29.740000000000002,33.35000000000001,0.75,0.6000000000000085,1
39.35,Namur,Gent,26.35,33.35000000000001,2.25,1.8000000000000256,3
34.10000000000001,Brussel,Antwerpen,29.100000000000005,33.350000000000016,0.75,0.6000000000000156,1
34.64,Brussel,Antwerpen,30.640000000000004,33.45000000000002,0.75,0.700000000000017,1
35.239999999999995,Gent,Brussel,32.239999999999995,33.95,0.75,0.20000000000000284,1
35.61000000000001,Antwerpen,Ronse,29.610000000000007,34.900000000000006,1.75,1.200000000000017,3
35.96000000000001,Antwerpen,Ronse,30.960000000000008,35.00000000000001,1.75,1.5000000000000213,3
35.31,Mons,Antwerpen,22.310000000000002,35.150000000000006,2.25,1.650000000000027,3
35.60000000000001,Brussel,Antwerpen,30.600000000000005,35.25000000000001,0.75,0.5000000000000071,1
36.730000000000004,Brussel,Antwerpen,33.730000000000004,35.35000000000001,0.75,0.6000000000000085,1
37.989999999999995,Gent,Brussel,33.989999999999995,35.45,0.75,0.20000000000000284,1
34.730000000000004,Brussel,Brugge,23.73,35.650000000000006,1.5,1.0000000000000142,2
37.28000000000001,Brussel,Antwerpen,32.28000000000001,35.650000000000006,0.75,0.4000000000000057,1
35.980000000000004,Brussel,Brugge,30.980000000000008,35.75000000000001,1.5,1.1000000000000156,2
37.330000000000005,Brussel,Antwerpen,32.330000000000005,35.75000000000001,0.75,0.5000000000000071,1
39.540000000000006,Brussel,Brugge,29.540000000000006,35.85000000000001,1.5,1.0000000000000142,2
38.540000000000006,Mons,Antwerpen,22.540000000000003,35.85000000000001,2.25,1.5000000000000213,3
36.480000000000004,Brugge,Mons,27.48,36.650000000000006,2.5,1.8000000000000256,4
38.599999999999994,Antwerpen,Brussel,33.599999999999994,36.650000000000006,0.75,0.4000000000000057,1
38.739999999999995,Gent,Brussel,34.739999999999995,36.650000000000006,0.75,0.4000000000000057,1
36.730000000000004,Brugge,Mons,24.73,36.75000000000001,2.5,2.2000000000000313,4
39.32999999999999,Antwerpen,Brussel,35.32999999999999,36.75000000000001,0.75,0.5000000000000071,1
39.93,Namur,Gent,28.93,36.75000000000001,2.25,1.3000000000000185,3
39.72,Gent,Namur,29.72,36.800000000000004,2.25,1.40000000000002,3
39.1,Brugge,Mons,27.1,36.85000000000001,2.5,2.400000000000034,4
40.07999999999999,Antwerpen,Brussel,34.07999999999999,36.85000000000001,0.75,0.6000000000000085,1
42.489999999999995,Gent,Namur,29.49,36.900000000000006,2.25,1.7000000000000242,3
40.35999999999999,Antwerpen,Brussel,35.35999999999999,36.95000000000001,0.75,0.20000000000000995,1
40.260000000000005,Brussel,Brugge,29.260000000000005,37.050000000000004,1.5,0.8000000000000114,2
41.160000000000004,Brussel,Brugge,29.160000000000004,37.150000000000006,1.5,1.0000000000000142,2
37.74000000000001,Antwerpen,Ronse,32.74000000000001,37.400000000000006,1.75,1.2500000000000142,3
