duetime,startnode,endnode,starttime,arrivaltime,transporttime,handlingtime,hops
2.98,Gent,Brussel,0.98,2.6500000000000004,0.75,0.40000000000000036,1
2.76,Brussel,Antwerpen,0.76,6.149999999999999,0.75,0.3999999999999986,1
5.64,Brussel,Antwerpen,3.6399999999999997,6.249999999999998,0.75,0.4999999999999982,1
6.859999999999999,Brussel,Antwerpen,4.859999999999999,6.349999999999998,0.75,0.5999999999999979,1
3.17,Antwerpen,Brussel,0.17,7.549999999999999,0.75,0.29999999999999893,1
4.8,Antwerpen,Brussel,0.8,7.649999999999999,0.75,0.3999999999999986,1
11.129999999999999,Brugge,Mons,1.13,9.149999999999999,2.5000000000000004,1.599999999999996,4
18.29,Brugge,Mons,3.29,9.249999999999998,2.5000000000000004,1.9999999999999947,4
18.41,Brugge,Mons,2.41,9.349999999999998,2.5000000000000004,2.3999999999999932,4
10.629999999999999,Brussel,Antwerpen,5.629999999999999,9.649999999999999,0.75,0.3999999999999986,1
12.129999999999999,Brussel,Antwerpen,6.129999999999999,9.749999999999998,0.75,0.4999999999999982,1
14.09,Brussel,Antwerpen,8.09,9.849999999999998,0.75,0.5999999999999979,1
6.5,Gent,Antwerpen,4.5,10.649999999999999,0.75,0.3999999999999986,1
7.46,Gent,Brussel,2.46,10.699999999999998,0.75,0.4499999999999975,1
8.61,Gent,Antwerpen,3.61,10.749999999999998,0.75,0.4999999999999982,1
13.18,Gent,Antwerpen,9.18,10.849999999999998,0.75,0.5999999999999979,1
14.52,Namur,Gent,4.52,11.849999999999998,2.25,1.399999999999995,3
15.25,Namur,Gent,7.25,12.049999999999999,2.25,1.2999999999999954,3
17.6,Namur,Gent,1.6,12.149999999999999,2.25,1.5999999999999943,3
11.780000000000001,Gent,Brussel,9.780000000000001,13.199999999999998,0.75,0.4499999999999975,1
15.270000000000001,Gent,Brussel,10.270000000000001,13.299999999999997,0.75,0.5499999999999972,1
11.42,Gent,Namur,1.42,13.899999999999999,2.25,1.2999999999999976,3
17.31,Gent,Namur,9.309999999999999,13.999999999999998,2.25,1.5499999999999936,3
19.3,Gent,Namur,1.3,14.099999999999998,2.25,1.7999999999999963,3
7.42,Brussel,Brugge,3.42,14.549999999999999,1.5,0.6999999999999975,2
14.3,Brussel,Brugge,9.3,14.649999999999999,1.5,0.8999999999999968,2
10.71,Mons,Antwerpen,0.71,15.649999999999999,2.25,1.1999999999999957,3
14.33,Brussel,Antwerpen,12.33,15.749999999999998,0.75,0.4999999999999982,1
15.66,Brussel,Antwerpen,12.66,15.849999999999998,0.75,0.5999999999999996,1
9.74,Antwerpen,Ronse,0.74,15.899999999999999,1.75,1.0999999999999943,3
15.36,Antwerpen,Ronse,1.3599999999999999,15.999999999999998,1.75,1.399999999999995,3
20.41,Brussel,Antwerpen,16.41,17.650000000000006,0.75,0.4000000000000057,1
21.02,Mons,Antwerpen,7.02,17.750000000000007,2.25,1.5000000000000036,3
25.1,Mons,Antwerpen,11.1,17.85000000000001,2.25,1.8000000000000043,3
24.61,Namur,Gent,7.61,18.150000000000006,2.2499999999999982,1.2000000000000028,3
29.490000000000002,Namur,Gent,13.49,18.250000000000007,2.2499999999999982,1.5000000000000053,3
30.11,Namur,Gent,13.11,18.35000000000001,2.2499999999999982,1.8000000000000078,3
21.700000000000003,Gent,Brussel,15.700000000000001,19.150000000000006,0.75,0.4000000000000057,1
17.79,Gent,Antwerpen,14.79,19.650000000000006,0.75,0.4000000000000057,1
20.79,Gent,Antwerpen,17.79,19.750000000000007,0.75,0.5000000000000071,1
24.33,Gent,Antwerpen,18.33,19.85000000000001,0.75,0.6000000000000085,1
20.71,Brussel,Antwerpen,17.71,21.150000000000006,0.75,0.4000000000000057,1
24.380000000000003,Brussel,Antwerpen,18.380000000000003,21.250000000000007,0.75,0.5000000000000071,1
