duetime,startnode,endnode,starttime,arrivaltime,transporttime,handlingtime,hops
3.01,Gent,Antwerpen,0.01,1.65,0.7499999999999999,0.3999999999999999,1
3.48,Gent,Antwerpen,0.48,1.75,0.7499999999999999,0.5,1
5.32,Gent,Antwerpen,0.32,1.85,0.7499999999999999,0.6000000000000001,1
3.76,Gent,Brussel,0.76,2.4000000000000004,0.75,0.6500000000000004,1
5.83,Gent,Brussel,0.8300000000000001,2.5000000000000004,0.75,0.7500000000000004,1
6.96,Gent,Brussel,0.9600000000000001,2.6000000000000005,0.75,0.8500000000000005,1
5.03,Gent,Brussel,1.03,2.6500000000000004,0.75,0.40000000000000036,1
6.23,Gent,Brussel,1.23,2.7500000000000004,0.75,0.5000000000000004,1
7.37,Gent,Brussel,1.37,2.8500000000000005,0.75,0.6000000000000005,1
3.16,Brussel,Antwerpen,0.16,2.9000000000000004,0.75,0.6500000000000004,1
4.44,Brussel,Antwerpen,1.4400000000000002,3.0000000000000004,0.75,0.7500000000000004,1
6.41,Brussel,Antwerpen,1.4100000000000001,3.1000000000000005,0.75,0.8500000000000005,1
3.59,Brussel,Antwerpen,1.59,3.1500000000000004,0.75,0.40000000000000036,1
3.7700000000000005,Brussel,Antwerpen,1.7700000000000002,3.2500000000000004,0.75,0.5000000000000004,1
4.69,Brussel,Antwerpen,1.6900000000000002,3.3500000000000005,0.75,0.6000000000000005,1
4.35,Antwerpen,Brussel,2.35,3.6500000000000004,0.75,0.40000000000000036,1
6.2,Antwerpen,Brussel,1.2,3.7500000000000004,0.75,0.5000000000000004,1
7.5,Antwerpen,Brussel,1.5,3.8500000000000005,0.75,0.6000000000000001,1
3.72,Gent,Antwerpen,1.7200000000000002,4.15,0.7500000000000004,0.40000000000000036,1
4.13,Gent,Antwerpen,2.13,4.25,0.7500000000000004,0.5,1
4.2299999999999995,Gent,Antwerpen,2.2299999999999995,4.35,0.7500000000000004,0.5999999999999996,1
5.0,Gent,Antwerpen,2.0,4.65,0.7500000000000004,0.40000000000000036,1
5.05,Gent,Antwerpen,2.05,4.75,0.7500000000000004,0.5,1
5.29,Gent,Antwerpen,1.29,4.85,0.7500000000000004,0.5999999999999996,1
4.24,Brussel,Antwerpen,2.24,5.149999999999999,0.75,0.3999999999999986,1
4.37,Gent,Brussel,2.37,5.149999999999999,0.75,0.3999999999999986,1
8.77,Brussel,Brugge,0.77,5.249999999999998,1.5,1.1499999999999986,2
4.82,Brussel,Antwerpen,2.8200000000000003,5.249999999999998,0.75,0.4999999999999982,1
7.16,Gent,Brussel,3.16,5.249999999999998,0.75,0.4999999999999982,1
10.83,Brussel,Brugge,1.83,5.349999999999998,1.5,1.3499999999999983,2
5.75,Brussel,Antwerpen,3.75,5.349999999999998,0.75,0.5999999999999979,1
7.96,Gent,Brussel,3.96,5.349999999999998,0.75,0.5999999999999979,1
10.96,Brussel,Brugge,0.96,5.4499999999999975,1.5,1.549999999999998,2
5.49,Gent,Antwerpen,3.4899999999999998,5.7499999999999964,0.75,0.49999999999999645,1
6.49,Gent,Antwerpen,3.4899999999999998,5.849999999999996,0.75,0.5999999999999961,1
6.49,Brussel,Antwerpen,0.49,5.899999999999999,0.75,0.6499999999999986,1
6.63,Gent,Antwerpen,3.63,5.949999999999996,0.75,0.6999999999999957,1
7.3100000000000005,Brussel,Antwerpen,3.31,5.999999999999998,0.75,0.7499999999999982,1
7.95,Brussel,Antwerpen,1.9500000000000002,6.099999999999998,0.75,0.8499999999999979,1
9.99,Namur,Gent,0.9900000000000001,6.149999999999997,2.25,1.7999999999999985,3
7.67,Antwerpen,Brussel,4.67,6.649999999999999,0.75,0.3999999999999986,1
8.65,Antwerpen,Brussel,4.65,6.749999999999998,0.75,0.4999999999999982,1
9.23,Antwerpen,Brussel,4.23,6.849999999999998,0.75,0.5999999999999979,1
10.28,Namur,Gent,0.28,6.999999999999998,2.25,1.8499999999999996,3
11.32,Namur,Gent,1.32,7.099999999999998,2.2500000000000004,1.6499999999999986,3
6.889999999999999,Gent,Antwerpen,4.889999999999999,7.299999999999995,0.75,0.5499999999999954,1
6.98,Gent,Antwerpen,0.98,7.399999999999995,0.75,0.649999999999995,1
6.76,Antwerpen,Ronse,1.7600000000000002,7.399999999999999,1.75,1.1999999999999975,3
6.709999999999999,Brussel,Brugge,2.7099999999999995,7.399999999999999,1.5000000000000004,1.2999999999999972,2
7.18,Gent,Antwerpen,2.1799999999999997,7.499999999999995,0.75,0.7499999999999947,1
8.04,Antwerpen,Ronse,2.04,7.499999999999998,1.75,1.6499999999999972,3
7.77,Brussel,Brugge,3.7699999999999996,7.499999999999998,1.5,1.4499999999999957,2
10.0,Antwerpen,Ronse,1.0,7.599999999999998,1.75,1.599999999999996,3
8.17,Brussel,Brugge,2.17,7.599999999999998,1.5000000000000004,1.599999999999996,2
7.59,Antwerpen,Brussel,5.59,7.6999999999999975,0.75,0.4499999999999975,1
10.24,Antwerpen,Ronse,1.24,7.6999999999999975,1.75,1.8999999999999955,3
7.359999999999999,Gent,Brussel,5.359999999999999,7.6999999999999975,0.75,0.4499999999999975,1
9.05,Antwerpen,Brussel,6.05,7.799999999999997,0.75,0.5499999999999972,1
10.43,Antwerpen,Ronse,2.43,7.799999999999997,1.75,2.3499999999999948,3
8.129999999999999,Gent,Brussel,4.13,7.799999999999997,0.75,0.5499999999999972,1
10.98,Antwerpen,Brussel,4.9799999999999995,7.899999999999997,0.75,0.6499999999999968,1
10.620000000000001,Antwerpen,Ronse,1.62,7.899999999999997,1.75,2.299999999999994,3
8.33,Gent,Brussel,2.33,7.899999999999997,0.75,0.6499999999999968,1
7.53,Brussel,Antwerpen,4.53,8.149999999999999,0.75,0.3999999999999986,1
7.970000000000001,Brussel,Antwerpen,3.97,8.249999999999998,0.75,0.4999999999999982,1
8.05,Brussel,Antwerpen,2.0500000000000003,8.349999999999998,0.75,0.5999999999999979,1
8.6,Antwerpen,Ronse,2.6,8.399999999999999,1.75,1.4999999999999947,3
8.52,Brussel,Brugge,2.5199999999999996,8.399999999999999,1.5000000000000004,1.4999999999999964,2
8.71,Antwerpen,Ronse,2.71,8.499999999999998,1.75,1.7999999999999936,3
9.2,Brussel,Brugge,5.199999999999999,8.499999999999998,1.5,1.3999999999999968,2
10.719999999999999,Antwerpen,Ronse,2.7199999999999998,8.599999999999998,1.75,2.0999999999999925,3
9.48,Brussel,Brugge,4.4799999999999995,8.599999999999998,1.5,1.649999999999995,2
8.599999999999998,Gent,Brussel,5.599999999999999,8.749999999999996,0.75,0.49999999999999645,1
9.679999999999998,Gent,Brussel,6.679999999999998,8.849999999999996,0.75,0.5999999999999961,1
10.239999999999998,Gent,Brussel,7.239999999999998,8.949999999999996,0.75,0.6999999999999957,1
8.05,Brussel,Antwerpen,3.0500000000000003,9.149999999999999,0.75,0.3999999999999986,1
7.4,Gent,Antwerpen,1.4000000000000001,9.149999999999999,0.75,0.3999999999999986,1
8.58,Brussel,Antwerpen,5.58,9.249999999999998,0.75,0.4999999999999982,1
7.69,Gent,Antwerpen,1.6900000000000002,9.249999999999998,0.75,0.4999999999999982,1
8.86,Brussel,Antwerpen,5.86,9.349999999999998,0.75,0.5999999999999979,1
